Group,Ideology,Website
The Creativity Movement,Hate Music & Neo-Nazi,http://creativitymovement.net/forum/
The Creativity Movement,Hate Music & Neo-Nazi,http://creativitymovement.net/
The Creativity Alliance,Hate Music & Neo-Nazi,http://creativityalliance.com/
Covenant People's Ministry,Christian Identity,http://covenantpeoplesministry.org/cpm/wp/
CCC,White Nationalist,http://conservative-headlines.com/
Committee for Open Debate on the Holocaust,Holocaust Denial,http://codoh.com/
Christ Assembly,Christian Identity,http://christsassembly.com/
Christ or Chaos,Rad Catholics,http://christorchaos.com/
Christogenea,Christian Identity,http://christogenea.org/
Christian Identity Church,Christian Identity,http://christianidentitychurch.net/
Christian Action Network,Anti-Muslim,http://christianaction.org/
Center for Security Policy,Anti-Muslim,http://centerforsecuritypolicy.org/
Slaves of the Immaculate Heart of Mary,Rad Catholics,http://catholicism.org/
"Brother Nathanael Foundation, The",General Hate,http://brothernathanaelfoundation.org/
bootsandbraces.ning.com,Hate Music & Neo-Nazi,http://bootsandbraces.ning.com
Behold Barbarity,Hate Music & Neo-Nazi,http://beholdbarbarity.storenvy.com/
Barnes Review/Foundation for Economic Liberty,Holocaust Denial,http://barnesreview.org/
Parasitic Records,Hate Music & Neo-Nazi,http://bandcamp.com/tag/parasitic-records
Attack the System,Hate Music & Neo-Nazi,http://attackthesystem.com/
Nation of Islam,Black Nationalist,http://asgsouthwest.blogspot.com/2010/05/nation-of-islam-meeting-times.html
Aryan Terror Brigade,Hate Music & Neo-Nazi,http://aryanterrorbrigade.tumblr.com/
Anglo-Saxon Israel,Christian Identity,http://anglo-saxonisrael.com/
Andrew Carrington Hitchcock,Holocaust Denial,http://andrewcarringtonhitchcock.com/
America's Promise Ministries,Christian Identity,http://amprom.org
American Viking Clothing,Hate Music & Neo-Nazi,http://americanvikings.us
American Viking Clothing,Hate Music & Neo-Nazi,http://americanvikings.com/
American Free Press,General Hate,http://americanfreepress.net/
American Freedom Union,White Nationalist,http://americanfreedomunion.com/
American Eagle Party,White Nationalist,http://americaneagleparty.com/
Alternative Right,White Nationalist,http://alternative-right.blogspot.com/
Nation of Islam,Black Nationalist,http://addr.ws/the-nation-of-islam-lexington-ky-study-group--lexington-us.html
Active Democracy,General Hate,http://active-democracy.com/
Black Riders Liberation Party,Black Nationalist,http://2servethapeople.wixsite.com/brlp
American Renaissance,White Nationalist,amren.com
