Group,Ideology,Website,ExternalLinksToSite,OwnersOtherDomains,SiteDescription,OnlineSince,SiteTitle,ThreeMonthAvgUSRank,PageViewsPerMillion,PageViewsPerUser,ContributingSubdomains
Nuclear War Now Productions,Hate Music & Neo-Nazi,https://nuclearwarnowproductions.bandcamp.com/,107415,,,,Band Camp - Bandcamp - Bandcamp.com,628,88.49,3.14,"bandcamp.com, daily.bandcamp.com, themidnight.bandcamp.com, redlettermedia.bandcamp.com, chillhop.bandcamp.com, wanderingartist.bandcamp.com, 4everfreebrony.bandcamp.com, radiojuicy.bandcamp.com, newretrowave.bandcamp.com, popplers5.bandcamp.com, grizzlyfetish.bandcamp.com, mach-hommy.bandcamp.com, homestuck.bandcamp.com, suicideboys.bandcamp.com, circularlimited.bandcamp.com, norite.bandcamp.com, knxwledge.bandcamp.com, clairecottrill.bandcamp.com, dreamcatalogue.bandcamp.com, vyletpony.bandcamp.com, cryochamber.bandcamp.com, theflashbulb.bandcamp.com, shponglemusic.bandcamp.com, phantasmadisques.bandcamp.com, neoncityrecords.bandcamp.com, orangemilkrecords.bandcamp.com, jensrecords.bandcamp.com, musicformessier.bandcamp.com, vulfpeck.bandcamp.com, liluglymane.bandcamp.com, bellwitch.bandcamp.com, menitrust.bandcamp.com, lasersedge.bandcamp.com, brockhewittstories.bandcamp.com, daupe.bandcamp.com, amyo.bandcamp.com, fatherdaughterrecords.bandcamp.com, eatroffles.bandcamp.com, volarrecords.bandcamp.com, pinegrove.bandcamp.com, khruangbin.bandcamp.com, fasolprod.bandcamp.com, polegroup.bandcamp.com, michellezauner.bandcamp.com, jojibeats.bandcamp.com, hypnoticdirgerecords.bandcamp.com, deathsdynamicshroud.bandcamp.com, whalesandechoes.bandcamp.com, studiomdhr.bandcamp.com, c418.bandcamp.com, blvckceiling.bandcamp.com, annulledmusic.bandcamp.com, vektroid.bandcamp.com, thekingsoftinythings.bandcamp.com, truthorconsequencesmusic.bandcamp.com, jinsangbeats.bandcamp.com, dunkey.bandcamp.com, simonstalenhag.bandcamp.com, simgretina.bandcamp.com, blackesteverblack.bandcamp.com, midwestcollective.bandcamp.com, blood-music.bandcamp.com, sandy.bandcamp.com, jazzspastiks.bandcamp.com, glitched.bandcamp.com, fogman.bandcamp.com, wispx.bandcamp.com, griffinmcelroy.bandcamp.com, blankbanshee.bandcamp.com, 0101.bandcamp.com, urbanwavesrecords.bandcamp.com, icaneditzcomicz.bandcamp.com, perturbator.bandcamp.com, lavidaesunmus.bandcamp.com, carseatheadrest.bandcamp.com, carpenterbrut.bandcamp.com, sovereigngracemusic.bandcamp.com, lobstertheremin.bandcamp.com, lewisfautzi-figure.bandcamp.com, darkdescentrecords.bandcamp.com, svn.bandcamp.com, ultimae.bandcamp.com, godflesh1.bandcamp.com, convergecult.bandcamp.com, OTHER"
National Socialist Freedom Movement,Hate Music & Neo-Nazi,https://nsfm.sharepoint.com/Pages/default.aspx,10,,,,nsfm.sharepoint.com/Pages/default.aspx,,,,
Nation of Islam,Black Nationalist,https://noimm74.wordpress.com/,1,,,,noimm74.wordpress.com/,,,,
National Alliance,Hate Music & Neo-Nazi,https://natall.com/,269,,,14-Dec-1995,National Alliance,663336,0.04,2.2,DataUrl
Nation of Islam,Black Nationalist,https://muhammadmosque7c.org/,1,,,,muhammadmosque7c.org/,11821625,0,2,
Keystone United/Keystone State Skinheads,Hate Music & Neo-Nazi,https://keystone2001united.wordpress.com/,2,,,,keystone2001united.wordpress.com/,10991973,0,1,
Jewish Task Force,General Hate,https://jtf.org/,239,,"Arguing in support of Israel's right wing extremist groups, and against Islam. Also expressing contempt for African Americans.",31-Aug-1998,Jewish Task Force,1385450,0.01,1.1,DataUrl
Irving Books,Holocaust Denial,https://irvingbooks.com/xcart/home.php,22,,,,irvingbooks.com/xcart,2311895,0.01,2.1,
Focal Point Publications,Holocaust Denial,https://irvingbooks.com,22,,,,irvingbooks.com/,2311895,0.01,2.1,
Hells Headbangers,Hate Music & Neo-Nazi,https://hellsheadbangers.bandcamp.com/,107415,,,,Band Camp - Bandcamp - Bandcamp.com,628,88.49,3.14,"bandcamp.com, daily.bandcamp.com, themidnight.bandcamp.com, redlettermedia.bandcamp.com, chillhop.bandcamp.com, wanderingartist.bandcamp.com, 4everfreebrony.bandcamp.com, radiojuicy.bandcamp.com, newretrowave.bandcamp.com, popplers5.bandcamp.com, grizzlyfetish.bandcamp.com, mach-hommy.bandcamp.com, homestuck.bandcamp.com, suicideboys.bandcamp.com, circularlimited.bandcamp.com, norite.bandcamp.com, knxwledge.bandcamp.com, clairecottrill.bandcamp.com, dreamcatalogue.bandcamp.com, vyletpony.bandcamp.com, cryochamber.bandcamp.com, theflashbulb.bandcamp.com, shponglemusic.bandcamp.com, phantasmadisques.bandcamp.com, neoncityrecords.bandcamp.com, orangemilkrecords.bandcamp.com, jensrecords.bandcamp.com, musicformessier.bandcamp.com, vulfpeck.bandcamp.com, liluglymane.bandcamp.com, bellwitch.bandcamp.com, menitrust.bandcamp.com, lasersedge.bandcamp.com, brockhewittstories.bandcamp.com, daupe.bandcamp.com, amyo.bandcamp.com, fatherdaughterrecords.bandcamp.com, eatroffles.bandcamp.com, volarrecords.bandcamp.com, pinegrove.bandcamp.com, khruangbin.bandcamp.com, fasolprod.bandcamp.com, polegroup.bandcamp.com, michellezauner.bandcamp.com, jojibeats.bandcamp.com, hypnoticdirgerecords.bandcamp.com, deathsdynamicshroud.bandcamp.com, whalesandechoes.bandcamp.com, studiomdhr.bandcamp.com, c418.bandcamp.com, blvckceiling.bandcamp.com, annulledmusic.bandcamp.com, vektroid.bandcamp.com, thekingsoftinythings.bandcamp.com, truthorconsequencesmusic.bandcamp.com, jinsangbeats.bandcamp.com, dunkey.bandcamp.com, simonstalenhag.bandcamp.com, simgretina.bandcamp.com, blackesteverblack.bandcamp.com, midwestcollective.bandcamp.com, blood-music.bandcamp.com, sandy.bandcamp.com, jazzspastiks.bandcamp.com, glitched.bandcamp.com, fogman.bandcamp.com, wispx.bandcamp.com, griffinmcelroy.bandcamp.com, blankbanshee.bandcamp.com, 0101.bandcamp.com, urbanwavesrecords.bandcamp.com, icaneditzcomicz.bandcamp.com, perturbator.bandcamp.com, lavidaesunmus.bandcamp.com, carseatheadrest.bandcamp.com, carpenterbrut.bandcamp.com, sovereigngracemusic.bandcamp.com, lobstertheremin.bandcamp.com, lewisfautzi-figure.bandcamp.com, darkdescentrecords.bandcamp.com, svn.bandcamp.com, ultimae.bandcamp.com, godflesh1.bandcamp.com, convergecult.bandcamp.com, OTHER"
Free North Carolina,Neo-Confederate,https://freenorthcarolina.blogspot.com/,484,,,,freenorthcarolina.blogspot.com/,1080578,0.01,1.2,DataUrl
Florida Fire Eater,Neo-Confederate,https://floridafireeater.com/,3,,,,floridafireeater.com/,,,,
Faith and Heritage,White Nationalist,https://faithandheritage.com/,317,,,,faithandheritage.com/,456393,0.07,2.4,DataUrl
Nation of Islam,Black Nationalist,https://etrigg.com/location/muhammad-mosque-3-4202-n-teutonia-ave-53209-milwaukee-united-states/2988321/,65,,,,etrigg.com/location/muhammad-mosque-3-4202-n-teutonia-ave-53209-milwaukee-united-states/2988321,322468,0.07,1.3,DataUrl
Citizens for National Security,Anti-Muslim,https://cfns.us/,7,,,,cfns.us/,8944582,0,1,
Association for Appalachia,Neo-Confederate,https://appalachianrepublic.wordpress.com/,,,,,appalachianrepublic.wordpress.com/,,,,
American Vanguard,White Nationalist,https://american-vanguard.org/,7,,,,american-vanguard.org/,,,,
Yahushua DSCI Ministry,Christian Identity,http://www.yahushuadsciministry.us/,3,,,,yahushuadsciministry.us/,13550139,0,1,
Word Congress of Families,Anti-LGBT,http://www.worldcongress.org,214,"{u'OwnedDomain': [{u'Domain': u'callyourmissionary.com', u'Title': u'callyourmissionary.com'}, {u'Domain': u'kallsmart.com', u'Title': u'kallsmart.com'}]}","Non-profit research center that believes that the natural family is the fundamental unit of society and offers research and analysis on the meaning of that claim. Includes information on programs, publications and contacts.",07-Aug-1998,"Howard Center for Family, Religion, and Society",,,,
Windsor Hills Baptist Church (OK),Anti-LGBT,http://www.windorhills.org,,,,,windorhills.org/,,,,
Micetrap Distribution,Hate Music & Neo-Nazi,http://www.whitepride.com/,22,,,03-Dec-1996,whitepride.com/,8241712,0,1,
BUGS,White Nationalist,http://www.whitakeronline.org/blog/,225,,,23-Aug-2001,whitakeronline.org/blog,4455051,0,1,DataUrl
www.whitakeronline.org,Hate Music & Neo-Nazi,http://www.whitakeronline.org,225,,,23-Aug-2001,whitakeronline.org/,4455051,0,1,DataUrl
Washington Summit Publishers,White Nationalist,http://www.washsummit.com/,44,,,,washsummit.com/,,,,
Virginia MassResistance (chapter),Anti-LGBT,http://www.virginiamassresistance.org,4,,,,virginiamassresistance.org/,,,,
Verity Baptist Church,Anti-LGBT,http://www.veritybaptist.com,59,,,,veritybaptist.com/,7250070,0,2,
Virginia Christian Alliance,Anti-Muslim,http://www.vachristian.org/,17,,,,vachristian.org/,3942345,0,3,
Forza Nuova,White Nationalist,http://www.usa.forzanuova.info/,46,,,,usa.forzanuova.info/,5341504,0,1,
United Families International,Anti-LGBT,http://www.unitedfamilies.org,97,,,03-Apr-2002,unitedfamilies.org/,1203036,0.01,1.1,DataUrl
National Prayer Network,Christian Identity,http://www.truthtellers.org/,414,,,19-Sep-2000,The National Prayer Network's,1781826,0.01,1.3,DataUrl
True Light Pentecost Church (SC),Anti-LGBT,http://www.truelightpentecost.org,1,,,,truelightpentecost.org/,14611284,0,7,
Treasure Valley Refugee Watch,Anti-Muslim,http://www.treasurevalleyrefugeefacts.org/,5,,,,treasurevalleyrefugeefacts.org/,,,,
Traditionalist Youth Network,White Nationalist,http://www.tradyouth.org/,380,,,,tradyouth.org/,1525218,0.01,1.8,
Traditionalist Worker Party,White Nationalist,http://www.tradworker.org/,91,,,,tradworker.org/,463091,0.06,2.2,DataUrl
Tradition in Action,Rad Catholics,http://www.traditioninaction.org/,1851,,"Educational with Cultural, religious and historic articles from a traditional Catholic perspective",03-May-1999,Tradition In Action @ TraditionInAction.org,188959,0.2,2.4,DataUrl
Traditional Values Coalition,Anti-LGBT,http://www.traditionalvalues.org,502,,"Lobbying group focusing on the right to life, religious liberties, marriage, the homosexual agenda, pornography, family tax relief and education.",01-Sep-1996,Traditional Values Coalition,7059446,0,2,
Truth in Love Project,Anti-Muslim,http://www.tilproject.com/,35,,,,tilproject.com/,5575420,0,3,
Third Reich Books,Hate Music & Neo-Nazi,http://www.third-reich-books.com/,119,"{u'OwnedDomain': [{u'Domain': u'anti-antifa.net', u'Title': u'anti-antifa.net'}, {u'Domain': u'ao-nsdap.com', u'Title': u'ao-nsdap.com'}, {u'Domain': u'aryanmatters.com', u'Title': u'aryanmatters.com'}, {u'Domain': u'bhbulgaria.com', u'Title': u'bhbulgaria.com'}, {u'Domain': u'bloodandhonour-rvf.com', u'Title': u'bloodandhonour-rvf.com'}, {u'Domain': u'den-svenske.com', u'Title': u'den-svenske.com'}, {u'Domain': u'freier-widerstand.net', u'Title': u'freier-widerstand.net'}, {u'Domain': u'fuerzaaria.com', u'Title': u'fuerzaaria.com'}, {u'Domain': u'hitlerwasright.info', u'Title': u'hitlerwasright.info'}, {u'Domain': u'lacensura.com', u'Title': u'lacensura.com'}, {u'Domain': u'leverkusener-aufbruch.com', u'Title': u'leverkusener-aufbruch.com'}, {u'Domain': u'motstand.org', u'Title': u'motstand.org'}, {u'Domain': u'nazi-lauck-nsdapao.com', u'Title': u'nazi-lauck-nsdapao.com'}, {u'Domain': u'nazi-lauck-nsdapao.net', u'Title': u'nazi-lauck-nsdapao.net'}, {u'Domain': u'nazifilm.com', u'Title': u'nazifilm.com'}, {u'Domain': u'niggermania.com', u'Title': u'niggermania.com'}, {u'Domain': u'nsfront.info', u'Title': u'nsfront.info'}, {u'Domain': u'nuevorden.net', u'Title': u'nuevorden.net'}, {u'Domain': u'nvu.info', u'Title': u'nvu.info'}, {u'Domain': u'ostara.info', u'Title': u'ostara.info'}, {u'Domain': u'portal-ns.com', u'Title': u'portal-ns.com'}, {u'Domain': u'resistenciaria.org', u'Title': u'resistenciaria.org'}, {u'Domain': u'sturmrecords.com', u'Title': u'sturmrecords.com'}, {u'Domain': u'ultras-sur.net', u'Title': u'ultras-sur.net'}, {u'Domain': u'widerstandnord.com', u'Title': u'widerstandnord.com'}]}","Third Reich books and films with English translation. Nazi marches and German military war music. Also militaria, flags, and posters. Dealers also welcome.",25-May-2001,RJG Enterprises Inc.,2229055,0.01,2.5,DataUrl
United Klans of America,KKK,http://www.theuka.us/,10,,,,theuka.us/,3646396,0,2,
"Straight Way and More, The",Anti-Muslim,http://www.thestraightway.org/,104,,,,thestraightway.org/,5563807,0,1,
Social Contract Press,White Nationalist,http://www.thesocialcontract.com/,508,"{u'OwnedDomain': {u'Domain': u'scenicmichigan.org', u'Title': u'scenicmichigan.org'}}","A quarterly journal on public issues and policy in the interrelated fields of the environment, human population, international migration, language, and assimilation. Contains extensive searchable archives of essays and reviews.",16-Jun-1999,Social Contract Press,1396307,0.01,1.4,DataUrl
The Right Voice,Neo-Confederate,http://www.therightvoice.net/,8,,,,therightvoice.net/,11663381,0,2,
The Political Cesspool,White Nationalist,http://www.thepoliticalcesspool.org/,343,"{u'OwnedDomain': {u'Domain': u'irx-solutions.com', u'Title': u'irx-solutions.com'}}","Listen live from around the world via our streaming audio at www.thepoliticalcesspool.org during our regularly scheduled weekly broadcast times. 3) If you miss a live show, or just want to listen to any of the previously aired shows that we&apos;ve conducted since 2004, you may do so on-demand by visiting our extensive library of broadcast archives, which are also conveniently located on our website. ... We appreciate your help and couldn&apos;t survive without it! www.thepoliticalcesspool.org/donations.php",01-Sep-2004,Thepoliticalcesspool.org,1544837,0.01,1.5,DataUrl
www.thephora.net/forum/,Hate Music & Neo-Nazi,http://www.thephora.net/forum/,299,,,08-Dec-2005,thephora.net/forum,332054,0.12,3.3,DataUrl
Occidental Observer,White Nationalist,http://www.theoccidentalobserver.net/,1801,,,,theoccidentalobserver.net/,158487,0.21,1.9,"theoccidentalobserver.net, OTHER"
New Order,Hate Music & Neo-Nazi,http://www.theneworder.org/,133,,A National Socialist religious community standing for a revolutionary new order on earth.,02-Apr-1999,New Order,2744422,0.01,4.2,
All Eyes on Egipt Bookstore,Black Nationalist,http://www.thenationspeaks.org/,3,,,,thenationspeaks.org/,,,,
"Israelite Church of God in Jesus Christ, The",Black Nationalist,http://www.thecomforter.info/main/,13,,,,thecomforter.info/main,7069097,0,2,
The Christian Identity Forum,Christian Identity,http://www.thechristianidentityforum.net/,191,,,,thechristianidentityforum.net/,849100,0.02,1.4,DataUrl
Power of Prophecy,General Hate,http://www.texemarrs.com/,1158,"{u'OwnedDomain': [{u'Domain': u'conspiracyfiles.com', u'Title': u'conspiracyfiles.com'}, {u'Domain': u'conspiracysecrets.com', u'Title': u'conspiracysecrets.com'}, {u'Domain': u'conspiracyworld.com', u'Title': u'conspiracyworld.com'}, {u'Domain': u'powerofprophecy.com', u'Title': u'powerofprophecy.com'}]}",,05-Sep-1996,texemarrs.com/,548040,0.04,1.5,DataUrl
Texas Rebel Knights,KKK,http://www.texasrebelknightskkk.com/,5,,,,texasrebelknightskkk.com/,,,,
United White Knights of the Ku Kiux Klan,KKK,http://www.texaskkk.com/,17,,,27-Dec-2001,texaskkk.com/,13938194,0,3,
Team America Political Action Committee,Anti-Muslim,http://www.teamamericapac.com/,3,,,,teamamericapac.com/,,,,
TC Family (Traverse City; MI),Anti-LGBT,http://www.tcfamily.org,1,,,,tcfamily.org/,9488235,0,1,
Tom Brown Ministries,Anti-LGBT,http://www.tbm.org,110,"{u'OwnedDomain': {u'Domain': u'charismatic.org', u'Title': u'charismatic.org'}}","Pastor and founder of Word of Life Church in El Paso, Texas. Topical articles and ministry events.",01-Mar-1997,"Brown, Tom Ministries: Word of Life Church",3756248,0,1,DataUrl
Stedfast Baptist Church (TX),Anti-LGBT,http://www.stedfastbaptistkjv.org,41,,,,stedfastbaptistkjv.org/,7256518,0,2,
Stalhelm Records,Hate Music & Neo-Nazi,http://www.stahlhelmrecords.com/,13,,,,stahlhelmrecords.com/,,,,
Southern Agrarian,Neo-Confederate,http://www.southernagrarian.com/,72,,"Southern Agrarianism is a political, literary, and philosophical movement that reached its peak in the 1930's. This site covers the practical aspects of small scale agriculture as well as the philosophy and life-style of Southern Agrarianism.",,The Southern Agrarian,3349139,0,1,
Our Place Fellowship,Christian Identity,http://www.sonplace.com/Our_Place/,6,"{u'OwnedDomain': [{u'Domain': u'agencemva.com', u'Title': u'agencemva.com'}, {u'Domain': u'amputee-online.com', u'Title': u'amputee-online.com'}, {u'Domain': u'antronexpress.com', u'Title': u'antronexpress.com'}, {u'Domain': u'aurora-tour.com', u'Title': u'aurora-tour.com'}, {u'Domain': u'bulgergallery.com', u'Title': u'bulgergallery.com'}, {u'Domain': u'canmapsystems.com', u'Title': u'canmapsystems.com'}, {u'Domain': u'care4nurses.org', u'Title': u'care4nurses.org'}, {u'Domain': u'cipid.com', u'Title': u'cipid.com'}, {u'Domain': u'colonialtimes.com', u'Title': u'colonialtimes.com'}, {u'Domain': u'embanet.org', u'Title': u'embanet.org'}, {u'Domain': u'equiterre.org', u'Title': u'equiterre.org'}, {u'Domain': u'familyfocusphoto.com', u'Title': u'familyfocusphoto.com'}, {u'Domain': u'garneau-inc.com', u'Title': u'garneau-inc.com'}, {u'Domain': u'goodfellowinc.com', u'Title': u'goodfellowinc.com'}, {u'Domain': u'gryphontheatre.com', u'Title': u'gryphontheatre.com'}, {u'Domain': u'guelphchamber.com', u'Title': u'guelphchamber.com'}, {u'Domain': u'inglewoodcarecentre.com', u'Title': u'inglewoodcarecentre.com'}, {u'Domain': u'ourkids.net', u'Title': u'ourkids.net'}, {u'Domain': u'snowpro.com', u'Title': u'snowpro.com'}, {u'Domain': u'specsmodels.com', u'Title': u'specsmodels.com'}, {u'Domain': u'sterlingkaramar.com', u'Title': u'sterlingkaramar.com'}, {u'Domain': u'stevewalkerart.com', u'Title': u'stevewalkerart.com'}, {u'Domain': u'tenaquip.com', u'Title': u'tenaquip.com'}, {u'Domain': u'turkish-delight.com', u'Title': u'turkish-delight.com'}, {u'Domain': u'vgmfusion.com', u'Title': u'vgmfusion.com'}]}",,25-Apr-2000,sonplace.com/Our_Place,9914726,0,3,
Stop the Islamization of the World,Anti-Muslim,http://www.siotw.org/,184,,,,siotw.org/,3624849,0,2,DataUrl
Silver Bullet Gun Oil,Anti-Muslim,http://www.silverbulletgunoil.net/,153,,,,silverbulletgunoil.net/,18590228,0,1,
Scriptures for America Worldwide Ministries - international outreach ministry of the LaPorte Church of Christ,Christian Identity,http://www.scripturesforamerica.org/,112,"{u'OwnedDomain': {u'Domain': u'scripturesforamerica.com', u'Title': u'scripturesforamerica.com'}}","Christian outreach ministry professing to teach Anglo-Saxon, Germanic, and kindred peoples of the world their true Biblical identity.",06-Sep-1999,Scriptures for America,4609678,0,1,
Scott-Townsend Publishers,White Nationalist,http://www.scott-townsend.com/,5,,,,scott-townsend.com/,,,,
Save California,Anti-LGBT,http://www.savecalifornia.com,158,"{u'OwnedDomain': {u'Domain': u'ccfcalifornia.com', u'Title': u'ccfcalifornia.com'}}","Works to protect children, parents, taxpayers, persons of faith and conscience and the sacred institution of marriage and family.",11-Aug-1999,Campaign for California Families,4327608,0,1,
Aryan Nation-Sadistic Souls Skinheads/Black & Silver Solution,Hate Music & Neo-Nazi,http://www.sadisticsoulsmc.org/,1,,,,sadisticsoulsmc.org/,5776564,0,2,
Ruth Institute,Anti-LGBT,http://www.ruthinstitute.org,217,,,,ruthinstitute.org/,2289812,0.01,1.4,DataUrl
Robert Sungenis,Rad Catholics,http://www.robertsungenis.org/,10,,,,robertsungenis.org/,10065459,0,1,
Righteous Jews,Holocaust Denial,http://www.righteousjews.org/,67,,,,righteousjews.org/,7746912,0,1,
Virginia Publishing Company,Christian Identity,http://www.richardhoskins.com/,23,,,25-Aug-1999,Richardhoskins,,,,
Campaign for Radical Truth in History,Holocaust Denial,http://www.revisionisthistory.org,662,"{u'OwnedDomain': [{u'Domain': u'advocatesforrotc.org', u'Title': u'advocatesforrotc.org'}, {u'Domain': u'alabanzas.info', u'Title': u'alabanzas.info'}, {u'Domain': u'browneacademyonline.org', u'Title': u'browneacademyonline.org'}, {u'Domain': u'bvgg.org', u'Title': u'bvgg.org'}, {u'Domain': u'cfagulfshore.org', u'Title': u'cfagulfshore.org'}, {u'Domain': u'chacweb.org', u'Title': u'chacweb.org'}, {u'Domain': u'chinasource.org', u'Title': u'chinasource.org'}, {u'Domain': u'crookedriverlighthouse.org', u'Title': u'crookedriverlighthouse.org'}, {u'Domain': u'd220.org', u'Title': u'd220.org'}, {u'Domain': u'dolari.org', u'Title': u'dolari.org'}, {u'Domain': u'fairviewbaptistonline.info', u'Title': u'fairviewbaptistonline.info'}, {u'Domain': u'fragmentsweb.org', u'Title': u'fragmentsweb.org'}, {u'Domain': u'kidstand.org', u'Title': u'kidstand.org'}, {u'Domain': u'lotsfortots.biz', u'Title': u'lotsfortots.biz'}, {u'Domain': u'neatliving.org', u'Title': u'neatliving.org'}, {u'Domain': u'oneeyedcat.info', u'Title': u'oneeyedcat.info'}, {u'Domain': u'phantomoftheopera.info', u'Title': u'phantomoftheopera.info'}, {u'Domain': u'redemption-ministries.org', u'Title': u'redemption-ministries.org'}, {u'Domain': u'roanoketu.org', u'Title': u'roanoketu.org'}, {u'Domain': u'sscgeorgia.org', u'Title': u'sscgeorgia.org'}, {u'Domain': u'stateofarabistan.org', u'Title': u'stateofarabistan.org'}, {u'Domain': u'theologyofthebody.info', u'Title': u'theologyofthebody.info'}, {u'Domain': u'transparentcy.org', u'Title': u'transparentcy.org'}, {u'Domain': u'weatherwars.info', u'Title': u'weatherwars.info'}]}",Web site of revisionist historian Michael A. Hoffman II.,10-Jan-2004,Michael A Hoffman II - Radical Truth in History,1491585,0.01,2.0,DataUrl
Divine International Church of the Web,Christian Identity,http://www.revandrewangel.com/site/index.html,1,,,,revandrewangel.com/site,17400998,0,2,
Resistance Records,Hate Music & Neo-Nazi,http://www.resistancerecords.com/,,,,,resistancerecords.com/,,,,
White Aryan Resistance,Hate Music & Neo-Nazi,http://www.resistance88.com/index1.htm#.Vv1YzJwrLIU,28,,"White Power Resistance - anti Zionism. Skinheads, Nazi, White Pride Worldwide.",,White Power Resistance,7721764,0,1,DataUrl
Resistance Records,Hate Music & Neo-Nazi,http://www.resistance.com/site/,112,,,22-Apr-1995,Resistance Records,4085114,0,2,
White Aryan Resistance,Hate Music & Neo-Nazi,http://www.resist.com/,444,,A white supremacist organization headed by Tom Metzger and based in California.,07-Jun-1996,White Aryan Resistance,1540653,0.01,1.3,DataUrl
Reporter's notebook,Holocaust Denial,http://www.reportersnotebook.com/,41,,,25-Feb-1999,reportersnotebook.com/,,,,
Rense Radio Network,General Hate,http://www.renseradio.com/,218,"{u'OwnedDomain': [{u'Domain': u'adminsites.com', u'Title': u'adminsites.com'}, {u'Domain': u'alpacaheritage.com', u'Title': u'alpacaheritage.com'}, {u'Domain': u'alwaysselena.org', u'Title': u'alwaysselena.org'}, {u'Domain': u'anw.com', u'Title': u'anw.com'}, {u'Domain': u'blueyonderband.com', u'Title': u'blueyonderband.com'}, {u'Domain': u'buymysocks.com', u'Title': u'buymysocks.com'}, {u'Domain': u'coachpokey.com', u'Title': u'coachpokey.com'}, {u'Domain': u'ericksonfarm.com', u'Title': u'ericksonfarm.com'}, {u'Domain': u'freshwaterprawn.org', u'Title': u'freshwaterprawn.org'}, {u'Domain': u'istanbulmuseum.org', u'Title': u'istanbulmuseum.org'}, {u'Domain': u'jorika.com', u'Title': u'jorika.com'}, {u'Domain': u'kerryparkislanders.com', u'Title': u'kerryparkislanders.com'}, {u'Domain': u'kyonsi.com', u'Title': u'kyonsi.com'}, {u'Domain': u'lambersonmouthpieces.com', u'Title': u'lambersonmouthpieces.com'}, {u'Domain': u'lightinfo.org', u'Title': u'lightinfo.org'}, {u'Domain': u'lionkhat.com', u'Title': u'lionkhat.com'}, {u'Domain': u'miesencorp.com', u'Title': u'miesencorp.com'}, {u'Domain': u'mobilehomeparks4sale.us', u'Title': u'mobilehomeparks4sale.us'}, {u'Domain': u'motionforyou.com', u'Title': u'motionforyou.com'}, {u'Domain': u'pbpropertymgt.com', u'Title': u'pbpropertymgt.com'}, {u'Domain': u'rense.com', u'Title': u'rense.com'}, {u'Domain': u'thehostpros.com', u'Title': u'thehostpros.com'}, {u'Domain': u'ufotheatre.com', u'Title': u'ufotheatre.com'}, {u'Domain': u'utahpublicautoauction.com', u'Title': u'utahpublicautoauction.com'}, {u'Domain': u'webbiennial.org', u'Title': u'webbiennial.org'}]}",,13-Sep-2004,renseradio.com/,148728,0.2,1.5,DataUrl
Religious Awareness Network,Anti-Muslim,http://www.religiousfreedomcoalition.org/,179,,,,religiousfreedomcoalition.org/,5025879,0,1,
MaineResistance (chapter of Mass Resistance),Anti-LGBT,http://www.reclaimvirtue.com,3,,,,reclaimvirtue.com/,,,,
Radix,White Nationalist,http://www.radixjournal.com/,724,,,,radixjournal.com/,750212,0.03,1.6,DataUrl
Stomp Out Child Abuse Compilation,Hate Music & Neo-Nazi,http://www.punishmentblockrecords.limitedrun.com/,2422,,,,punishmentblockrecords.limitedrun.com/,54620,0.89,2.42,"brandnew.limitedrun.com, preservingsilence.limitedrun.com, jermainerogers.limitedrun.com, s0.limitedrun.com, triplebrecords.limitedrun.com, titlefight.limitedrun.com, sororitynoise.limitedrun.com, blackscreenrecords.limitedrun.com, realfriends.limitedrun.com, lameorecords.limitedrun.com, dangercollectiverecords.limitedrun.com, explodinginsoundrecords.limitedrun.com, thefestfl.limitedrun.com, procrastinatemusictraitors.limitedrun.com, asianmanrecords.limitedrun.com, esctoy.limitedrun.com, havefunrecords.limitedrun.com, limitedrun.com, hatofulshop.limitedrun.com, devolverdigital.limitedrun.com, countyourluckystars.limitedrun.com, asitis.limitedrun.com, goodjobdog.limitedrun.com, familydinner.limitedrun.com, tinyengines.limitedrun.com, kitty.limitedrun.com, brandnewuk.limitedrun.com, walteretc.limitedrun.com, pinegrove.limitedrun.com, barren.limitedrun.com, lockinout.limitedrun.com, chickcorea.limitedrun.com, thegivinggroove.limitedrun.com, newsletters.limitedrun.com, partysmasherinc.limitedrun.com, counterintuitiverecords.limitedrun.com, headnorth.limitedrun.com, OTHER"
Punishment Block Records,Hate Music & Neo-Nazi,http://www.punishmentblockrecords.limitedrun.com/,2422,,,,punishmentblockrecords.limitedrun.com/,54620,0.89,2.42,"brandnew.limitedrun.com, preservingsilence.limitedrun.com, jermainerogers.limitedrun.com, s0.limitedrun.com, triplebrecords.limitedrun.com, titlefight.limitedrun.com, sororitynoise.limitedrun.com, blackscreenrecords.limitedrun.com, realfriends.limitedrun.com, lameorecords.limitedrun.com, dangercollectiverecords.limitedrun.com, explodinginsoundrecords.limitedrun.com, thefestfl.limitedrun.com, procrastinatemusictraitors.limitedrun.com, asianmanrecords.limitedrun.com, esctoy.limitedrun.com, havefunrecords.limitedrun.com, limitedrun.com, hatofulshop.limitedrun.com, devolverdigital.limitedrun.com, countyourluckystars.limitedrun.com, asitis.limitedrun.com, goodjobdog.limitedrun.com, familydinner.limitedrun.com, tinyengines.limitedrun.com, kitty.limitedrun.com, brandnewuk.limitedrun.com, walteretc.limitedrun.com, pinegrove.limitedrun.com, barren.limitedrun.com, lockinout.limitedrun.com, chickcorea.limitedrun.com, thegivinggroove.limitedrun.com, newsletters.limitedrun.com, partysmasherinc.limitedrun.com, counterintuitiverecords.limitedrun.com, headnorth.limitedrun.com, OTHER"
